Week,Week Start,Section,Item,Description,Rationale (why this is here),Owner,Status,Evidence / Link,Notes
Week 3,,Hands-on,Run Shrutam-2 on real-world audio,"10 Hindi + 10 Tamil + 5 code-mixed clips. Real audio (YouTube, podcasts, his own recordings), NOT model card examples.",Real audio surfaces real failure modes. Model card examples are cherry-picked.,Intern,Not Started,,
Week 3,,Hands-on,Compute WER vs Whisper large-v3,"Same audio, same ground truth, both models. Tabulate WER per language.",Shrutam-2 in isolation is just numbers. Comparison gives meaning.,Intern,Not Started,,
Week 3,,Profiling,"Latency, peak GPU memory, throughput","torch.cuda.max_memory_allocated(), wall-clock time, audio-seconds per inference-second. Note hardware and batch size.",Inference-stack thinking starts here. Discipline reused every subsequent week.,Intern,Not Started,,
Week 3,,Deliverable,week3_shrutam2_eval.md,"WER table, profiling table, 5 transcription failures with his hypothesis on each.",'Why did it fail?' forces reasoning about model behavior.,Intern,Not Started,,
Week 3,,Anti-pattern,Don't: try to 'improve' the model,"No retraining, no domain adaptation. Evaluation only.",Improvement is meaningless before measurement is solid.,Intern,Not Started,,
Week 3,,Anti-pattern,Don't: report numbers without hardware context,"Always note GPU, batch size, audio length, language.",A latency number without context is noise.,Intern,Not Started,,
Week 4,,Concept,Embeddings - what they are,"A vector of numbers representing something (a token, a speaker, an image). Similar things -> similar vectors. Speaker embedding = vector representing one person's voice.",Foundational concept used everywhere from here. Defining explicitly prevents confusion in Week 4 onwards.,Intern,Not Started,,
Week 4,,Concept,Reference-guided voice conditioning,Sooktam-2 takes a reference WAV + reference transcript and produces a speaker embedding. The TTS is conditioned on it — output mimics the reference voice.,Distinguishes Sooktam-2 from description-conditioned TTS like Indic Parler.,Intern,Not Started,,
Week 4,,Concept,Vocoder vs acoustic model,"Acoustic model: text -> mel-spectrogram. Vocoder: mel-spectrogram -> waveform. Two stages, two failure modes.",Helps reason about quality failures. Buzzy = vocoder. Wrong pronunciation = acoustic model. Different fixes.,Intern,Not Started,,
Week 4,,Concept,RTF (Real-Time Factor),RTF = generation_time / audio_duration. RTF < 1 = faster than real-time.,Standard TTS metric. Lets him compare Sooktam-2 to Indic Parler on a common axis.,Intern,Not Started,,
Week 4,,Hands-on,Generate 3 languages x 3 reference voices,Hindi + Marathi + Tamil; three different reference speakers per language.,Reveals model behavior across language and speaker dimensions.,Intern,Not Started,,
Week 4,,Hands-on,Edge cases,"Long target text (>500 chars). English loanwords in Hindi. Numbers and currency (2026, Rs.450). Code-mixed input.",These are where production deployments break. Document now.,Intern,Not Started,,
Week 4,,Hands-on,Compare with ai4bharat/indic-parler-tts,"Same Hindi sentences, same listener. Reference-conditioned vs description-conditioned paradigms.",Forces articulating the trade-off.,Intern,Not Started,,
Week 4,,Profiling,"Latency, RTF, GPU memory",Same profiling discipline as Week 3.,Builds the habit.,Intern,Not Started,,
Week 4,,Deliverable,week4_sooktam2_eval.md + audio samples,Markdown + committed audio. Indic Parler comparison. Tabulated profiling. Edge-case failure samples.,Claims about audio quality MUST be backed by listenable artifacts.,Intern,Not Started,,
Week 4,,Anti-pattern,Don't: claim quality without samples,Every quality assertion links to a WAV file.,Untestable claims become folk wisdom.,Intern,Not Started,,
Week 4,,Anti-pattern,Don't: forget reference clip quality is a ceiling,A noisy/unclear reference produces mediocre output regardless of model.,"Garbage in, garbage out. Common beginner error.",Intern,Not Started,,
Week 5,,Concept,Sequence-to-sequence (seq2seq),Input sequence -> output sequence. ASR is audio-seq -> text-seq. TTS is text-seq -> audio-seq. Translation is text-seq -> text-seq. Same family.,Naming the abstraction unifies three apparently different models. Reduces cognitive load.,Intern,Not Started,,
Week 5,,Concept,Encoder vs decoder,"Encoder = reads the whole input and builds an internal representation. Decoder = generates output one token at a time, looking at encoder's representation.",Architecture intuition for why translation models look different from chatbot LLMs.,Intern,Not Started,,
Week 5,,Concept,Autoregressive generation,"Generates token by token, each new token depends on previously generated tokens. Builds on Week 2 logits/softmax: at each step, model outputs logits, picks next token.",Connects to earlier softmax concept. Explains why latency scales with output length.,Intern,Not Started,,
Week 5,,Concept,Beam search - experienced,"Now actually set num_beams=1, 4, 8. Observe output and latency changes.",Week 3 introduced concept; Week 5 experiences it.,Intern,Not Started,,
Week 5,,Hands-on,Run IndicTrans2 both directions,ai4bharat/indictrans2-indic-en-1B and en-indic-1B. 30 sentences across 4 languages.,Practical breadth.,Intern,Not Started,,
Week 5,,Hands-on,Edge cases,"Technical/legal Hindi, casual WhatsApp text, numbers and dates, code-mixed input.",Tests robustness across registers.,Intern,Not Started,,
Week 5,,Hands-on,Round-trip translation,Hindi -> English -> Hindi for 10 sentences. Compare to originals for meaning drift.,Quick quality signal without expensive BLEU.,Intern,Not Started,,
Week 5,,Profiling,"Latency, GPU memory, tokens/sec",Same profiling discipline.,Continuity.,Intern,Not Started,,
Week 5,,Deliverable,week5_indictrans2_eval.md + translate.py CLI,"Eval doc + a small CLI: `python translate.py --src hi --tgt en --text ""...""`.",First reusable tool. Imported into Week 6 pipeline.,Intern,Not Started,,
Week 5,,Anti-pattern,Don't: treat BLEU as the only metric,BLEU + round-trip + human spot-checks.,BLEU is brittle for morphologically rich Indic languages.,Intern,Not Started,,
Week 6,,Concept,Pipeline / model composition,"How models compose. State between models (audio buffers, intermediate text, language metadata).",Composition has its own failure modes that individual models don't.,Intern,Not Started,,
Week 6,,Concept,GPU memory budgeting,"Three models, finite GPU. Decision: keep all loaded, swap, or offload to CPU? Trade-offs.",The inference-stack lesson. The engineering judgment is what we want him to develop.,Intern,Not Started,,
Week 6,,Hands-on,Wire Shrutam-2 + IndicTrans2 + Sooktam-2,Audio -> Shrutam-2 (Hindi audio -> Hindi text) -> IndicTrans2 (Hindi -> English) -> Sooktam-2 (English text -> English audio).,The actual goal of the internship.,Intern,Not Started,,
Week 6,,Hands-on,Gradio UI,"File or mic input, source/target language dropdowns, audio player output. Run on localhost.",Makes the demo accessible to non-engineers.,Intern,Not Started,,
Week 6,,Hands-on,Decide GPU placement strategy,"All three loaded? Lazy load? Evict between calls? Pick one, defend in writing, document.",Defending the choice is more valuable than picking the optimal one.,Intern,Not Started,,
Week 6,,Hands-on,Handle 3 failure modes only,Empty transcription. Very long input audio (>5 min). Translation timeout.,Bounded scope. Three well > fifteen poorly.,Intern,Not Started,,
Week 6,,Profiling,Pipeline-level latency,End-to-end wall clock for a 10s audio input. Per-stage breakdown.,Sets up Week 7's end-to-end profiling.,Intern,Not Started,,
Week 6,,Deliverable,Gradio demo + architecture.md,"Hand-drawn architecture: data flow, model placements, memory budget, failure modes.",Drawing tests data-flow understanding.,Intern,Not Started,,
Week 6,,Anti-pattern,Don't: streaming or realtime,No WebSockets. Request-response only.,Streaming is its own multi-week project.,Intern,Not Started,,
Week 6,,Anti-pattern,Don't: containerize,No Docker. Plain Python + Gradio.,Containerization without deployment target is theater.,Intern,Not Started,,
Week 7,,Hands-on,End-to-end profiling: ms breakdown,"For a 10s Hindi -> English audio task: total ms, ASR ms, translate ms, TTS ms, overhead ms. Single diagram.",Synthesizes every week's profiling. The diagram goes on the wall.,Intern,Not Started,,
Week 7,,Hands-on,Memory profiling,Peak GPU memory per model. Peak with all three loaded concurrently. Implication: GPU tier needed.,Concrete answer to a recurring product question.,Intern,Not Started,,
Week 7,,Hands-on,LIMITATIONS.md,"Language coverage, code-mix failures, accent sensitivity, translation degradation, latency bottlenecks, GPU memory ceiling.",Honest scoping. Next intern starts knowing what doesn't work.,Intern,Not Started,,
Week 7,,Hands-on,Handoff README,Root README.md: 'How to run this in 30 minutes from scratch.' Step-by-step.,"If new intern can't get to a working demo in 30 min, handoff failed.",Intern,Not Started,,
Week 7,,Hands-on,"SETUP, EXPERIMENTS, NEXT_STEPS markdowns","SETUP: env/GPU/HF tokens. EXPERIMENTS: tried, worked, didn't. NEXT_STEPS: three concrete projects for next intern.",Decomposes the handoff into discoverable pieces.,Intern,Not Started,,
Week 7,,Hands-on,30-min Loom walkthrough,"Screen recording: demo the pipeline, walk through repo, point at limitations.",Watching is faster than reading for first-touch onboarding.,Intern,Not Started,,
Week 7,,Deliverable,Tagged repo v1.0-intern-handoff,git tag v1.0-intern-handoff. Final mentor review.,Discrete milestone. 'Done' is unambiguous.,Intern,Not Started,,
Week 7,,Anti-pattern,Don't: leave docs for the last day,Docs accumulate weekly from Week 1.,Week-7-only doc writing misses ~30% of what was done.,Intern,Not Started,,
